BAT_transcript BAT_logFC BAT_padj BRO_transcript BRO_logFC BRO_padj BGM_F_transcript BGM_F_logFC BGM_F_padj  BGM_M_transcript BGM_M_logFC BGM_M_padj OG
TRINITY_DN5022_c0_g1 -1.49072830645337 3.53631769058729e-14 TRINITY_DN22832_c0_g1 -1.26962485251047 1.58674028037363e-19 TRINITY_DN4849_c1_g2 -0.294957854484754 0.171085019636952 TRINITY_DN4849_c1_g2 0.292668811496626 0.10630258257032 OG0003221
TRINITY_DN5215_c0_g1 0.474405724198424 0.0173326336254812 TRINITY_DN2990_c1_g3 0.486333751060046 0.0181160798513033 TRINITY_DN2406_c0_g1 0.293583155189687 0.203678107854875 TRINITY_DN2406_c0_g1 2.15061928020635 1.41065714727943e-38 OG0003222
TRINITY_DN5302_c0_g1 -0.19790290054727 0.360940689939354 TRINITY_DN5492_c1_g1 0.413510880252021 0.0030471693826051 TRINITY_DN3836_c0_g2 0.0334724554652538 0.916087457401943 TRINITY_DN3836_c0_g2 0.600203252813078 0.000524110082507403 OG0003223
TRINITY_DN53058_c0_g1 0.516450242578181 4.81828381516366e-05 TRINITY_DN1629_c0_g1 0.866808626623714 1.81621128182182e-21 TRINITY_DN222_c1_g2 0.424317694729181 0.0249068726779212 TRINITY_DN222_c1_g2 2.55811801898486 1.18591814794369e-107 OG0003224
TRINITY_DN57083_c0_g1 0.102945094204264 0.810678979858598 TRINITY_DN32131_c0_g2 -0.780113548577371 5.24151261124989e-10 TRINITY_DN9614_c0_g1 0.868941068988496 1.37163576807418e-07 TRINITY_DN9614_c0_g1 1.07321178463854 5.77482085217113e-06 OG0003226
TRINITY_DN576_c0_g1 -0.168194835620204 0.590232035916736 TRINITY_DN267_c0_g3 -0.168146007112508 0.415350909239082 TRINITY_DN612_c2_g2 -0.235976224731774 0.393612836388691 TRINITY_DN612_c2_g2 -0.857104798235635 0.000336559449853351 OG0003227
TRINITY_DN6037_c0_g1 0.0254087519853169 0.952306398161977 TRINITY_DN1004_c0_g1 -0.272192111132095 0.0262849229355509 TRINITY_DN3084_c0_g3 -0.274767298914815 0.166228690197516 TRINITY_DN3084_c0_g3 -1.05182682090897 3.84816881727767e-06 OG0003228
TRINITY_DN62549_c0_g2 -0.891385151520765 0.526935385159621 TRINITY_DN966_c0_g1 -0.110866941435414 0.680798435979587 TRINITY_DN22988_c0_g1 -0.366031463110659 0.560414496205898 TRINITY_DN22988_c0_g1 0.786369927662552 0.091929761713521 OG0003229
TRINITY_DN6406_c1_g1 0.737952126034539 0.336099389723126 TRINITY_DN9225_c1_g1 0.444344810254222 0.660453894704785 TRINITY_DN34441_c0_g1 1.81951556737449 0.215210374932455 TRINITY_DN34441_c0_g1 2.48562627630456 0.00602344607806306 OG0003230
TRINITY_DN64_c1_g1 -1.24742206032042 3.53106963683379e-06 TRINITY_DN1441_c3_g2 -0.800930485800627 4.08768881383025e-13 TRINITY_DN1412_c0_g1 -0.328155399657235 0.0848824922433596 TRINITY_DN1412_c0_g1 -2.63811003488468 6.89725255145759e-41 OG0003231
